"Venue","Year","DOI","PP","Fig","Type","Notes","Legend","LegendBorder","LegendInside","RotatedXLabels","NonZeroBased","WasteSpace","HeavyGrid","HeavyBackground","SimilarColors","PatternFill","Raster","GridDistinctRanges","Overplotting","DoubleScale","Unlabeled","Deformed","3D","MissingAxesRef","Mislabeled","TooMuchPrecision","Shadow","Cropped","InterruptedScale","SilentLog","AxisRange","TooManyCats","WrappedXLabs","OverlappedLabels","ColorsUncoded"
"ESEM",2017,"10.1109/ESEM.2017.7",NA,"1","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.7",NA,"2","Bar, Stacked, PartWhole",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.7",NA,"3","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.7",NA,"4","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.7",NA,"5","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.7",NA,"6","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.7",NA,"7","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.8",NA,"1","Line","Legend overlap chart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.8",NA,"2","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.8",NA,"3","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.8",NA,"4","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.8",NA,"5","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"2","Pie","2/3 categories",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"3","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"4","Pie","2/3 categories",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"5","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"6","Pie","2/3 categories",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"7","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"8","Pie","2/3 categories",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"9","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"10","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.9",NA,"11","Box",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.10",NA,"1","Bar","histogram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.10",NA,"2","Bar","histogram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.10",NA,"3","Bar","histogram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"ESEM",2017,"10.1109/ESEM.2017.10",NA,"4","Box",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
