VenueType,Venue,Year,DOI,pages
Conference,ESEM,2017,10.1109/ESEM.2017.7,10
Conference,ESEM,2017,10.1109/ESEM.2017.8,9
Conference,ESEM,2017,10.1109/ESEM.2017.9,10
Conference,ESEM,2017,10.1109/ESEM.2017.10,8
Conference,ESEM,2017,10.1109/ESEM.2017.11,10
Conference,ESEM,2017,10.1109/ESEM.2017.27,10
Conference,ESEM,2017,10.1109/ESEM.2017.12,10
Conference,ESEM,2017,10.1109/ESEM.2017.13,10
Conference,ESEM,2017,10.1109/ESEM.2017.14,7
Conference,ESEM,2017,10.1109/ESEM.2017.15,10
Conference,ESEM,2017,10.1109/ESEM.2017.16,10
Conference,ESEM,2017,10.1109/ESEM.2017.17,6
Conference,ESEM,2017,10.1109/ESEM.2017.18,10
Conference,ESEM,2017,10.1109/ESEM.2017.19,10
Conference,ESEM,2017,10.1109/ESEM.2017.20,10
Conference,ESEM,2017,10.1109/ESEM.2017.21,10
Conference,ESEM,2017,10.1109/ESEM.2017.22,6
Conference,ESEM,2017,10.1109/ESEM.2017.23,6
Conference,ESEM,2017,10.1109/ESEM.2017.24,6
Conference,ESEM,2017,10.1109/ESEM.2017.25,6
Conference,ESEM,2017,10.1109/ESEM.2017.26,6
Conference,ESEM,2017,10.1109/ESEM.2017.28,6
Conference,ESEM,2017,10.1109/ESEM.2017.29,6
Conference,ESEM,2017,10.1109/ESEM.2017.30,6
Conference,ESEM,2017,10.1109/ESEM.2017.31,6
Conference,ESEM,2017,10.1109/ESEM.2017.32,6
Conference,ESEM,2017,10.1109/ESEM.2017.63,6
Conference,ESEM,2017,10.1109/ESEM.2017.33,6
Conference,ESEM,2017,10.1109/ESEM.2017.34,6
Conference,ESEM,2017,10.1109/ESEM.2017.35,6
Conference,ESEM,2017,10.1109/ESEM.2017.36,6
Conference,ESEM,2017,10.1109/ESEM.2017.37,6
Conference,ESEM,2017,10.1109/ESEM.2017.38,10
Conference,ESEM,2017,10.1109/ESEM.2017.39,10
Conference,ESEM,2017,10.1109/ESEM.2017.40,10
Conference,ESEM,2017,10.1109/ESEM.2017.41,10
Conference,ESEM,2017,10.1109/ESEM.2017.42,10
Conference,ESEM,2017,10.1109/ESEM.2017.43,10
Conference,ESEM,2017,10.1109/ESEM.2017.44,7
Conference,ESEM,2017,10.1109/ESEM.2017.45,10
